Question,Delimiters,Answer
The maximum of,"['in', 'at']",The maximum is <>
The max of,"['in', 'at']",The maximum is <>
What is maximum of,"['in', 'at']",The maximum is <>
What is max of,"['in', 'at']",The maximum is <>
What is maximum,"['in', 'at']",The maximum is <>
What is max,"['in', 'at']",The maximum is <>
What maximum,"['in', 'was in', 'is in', 'there is in', 'at', 'was at', 'is at', 'there is at']",The maximum is <>
What max,"['in', 'was in', 'is in', 'there is in', 'at', 'was at', 'is at', 'there is at']",The maximum is <>
Maximum of,"['in', 'at']",The maximum is <>
Max of,"['in', 'at']",The maximum is <>
Maximum,"['in', 'at']",The maximum is <>
Max,"['in', 'at']",The maximum is <>
Maximum of,"['']",The maximum is <>
Max of,"['']",The maximum is <>
Maximum,"['']",The maximum is <>
Max,"['']",The maximum is <>
