Question,Delimiters,Answer
The minimum of,"['in', 'at']",The minimum is <>
The min of,"['in', 'at']",The minimum is <>
What is minimum of,"['in', 'at']",The minimum is <>
What is min of,"['in', 'at']",The minimum is <>
What is minimum,"['in', 'at']",The minimum is <>
What is min,"['in', 'at']",The minimum is <>
What minimum,"['in', 'was in', 'is in', 'there is in', 'at', 'was at', 'is at', 'there is at']",The minimum is <>
What min,"['in', 'was in', 'is in', 'there is in', 'at', 'was at', 'is at', 'there is at']",The minimum is <>
Minimum of,"['in', 'at']",The minimum is <>
Min of,"['in', 'at']",The minimum is <>
Minimum,"['in', 'at']",The minimum is <>
Min,"['in', 'at']",The minimum is <>
Minimum of,"['']",The minimum is <>
Min of,"['']",The minimum is <>
Minimum,"['']",The minimum is <>
Min,"['']",The minimum is <>
